,field,field_string,mission,jd_start,jd_end
0,0.0,Q0,kepler,2454953.5,2454962.5
1,1.0,Q1,kepler,2454964.5,2454997.5
2,2.0,Q2,kepler,2455002.5,2455090.5
3,3.0,Q3,kepler,2455092.5,2455181.5
4,4.0,Q4,kepler,2455184.5,2455274.5
5,5.0,Q5,kepler,2455275.5,2455370.5
6,6.0,Q6,kepler,2455371.5,2455461.5
7,7.0,Q7,kepler,2455462.5,2455552.5
8,8.0,Q8,kepler,2455552.5,2455644.5
9,9.0,Q9,kepler,2455639.5,2455739.5
10,10.0,Q10,kepler,2455740.5,2455831.5
11,11.0,Q11,kepler,2455833.5,2455930.5
12,12.0,Q12,kepler,2455931.5,2456014.5
13,13.0,Q13,kepler,2456015.5,2456105.5
14,14.0,Q14,kepler,2456106.5,2456203.5
15,15.0,Q15,kepler,2456205.5,2456303.5
16,16.0,Q16,kepler,2456304.5,2456390.5
17,17.0,Q17,kepler,2456391.5,2456420.5
18,0.0,C0,k2,2456724.5,2456804.5
19,1.0,C1,k2,2456807.5,2456890.5
20,2.0,C2,k2,2456892.5,2456974.5
21,3.0,C3,k2,2456975.5,2457056.5
22,4.0,C4,k2,2457060.5,2457135.5
23,5.0,C5,k2,2457139.5,2457213.5
24,6.0,C6,k2,2457217.5,2457295.5
25,7.0,C7,k2,2457299.5,2457382.5
26,8.0,C8,k2,2457390.5,2457470.5
27,9.1,C9a,k2,2457500.5,2457526.5
28,9.2,C9b,k2,2457530.5,2457571.5
29,10.0,C10,k2,2457575.5,2457651.5
30,11.0,C11,k2,2457655.5,2457730.5
31,12.0,C12,k2,2457737.5,2457816.5
32,13.0,C13,k2,2457820.5,2457900.5
33,14.0,C14,k2,2457905.5,2457984.5
34,15.0,C15,k2,2457988.5,2458076.5
35,16.0,C16,k2,2458094.5,2458174.5
36,17.0,C17,k2,2458179.5,2458246.5
37,18.0,C18,k2,2458251.5,2458301.5
38,19.0,C19,k2,2458360.5,2458387.5
39,1.0,S1,tess,2458324.5,2458352.5
40,2.0,S2,tess,2458352.5,2458381.5
41,3.0,S3,tess,2458381.5,2458409.5
42,4.0,S4,tess,2458409.5,2458437.5
43,5.0,S5,tess,2458437.5,2458463.5
44,6.0,S6,tess,2458463.5,2458490.5
45,7.0,S7,tess,2458490.5,2458516.5
46,8.0,S8,tess,2458516.5,2458542.5
47,9.0,S9,tess,2458542.5,2458568.5
48,10.0,S10,tess,2458568.5,2458595.5
49,11.0,S11,tess,2458595.5,2458624.5
50,12.0,S12,tess,2458624.5,2458653.5
51,13.0,S13,tess,2458653.5,2458682.5
52,14.0,S14,tess,2458682.5,2458710.5
53,15.0,S15,tess,2458710.5,2458737.5
54,16.0,S16,tess,2458737.5,2458763.5
55,17.0,S17,tess,2458763.5,2458789.5
56,18.0,S18,tess,2458789.5,2458814.5
57,19.0,S19,tess,2458814.5,2458841.5
58,20.0,S20,tess,2458841.5,2458869.5
59,21.0,S21,tess,2458869.5,2458897.5
60,22.0,S22,tess,2458897.5,2458926.5
61,23.0,S23,tess,2458926.5,2458955.5
62,24.0,S24,tess,2458955.5,2458982.5
63,25.0,S25,tess,2458982.5,2459008.5
64,26.0,S26,tess,2459008.5,2459034.5
65,27.0,S27,tess,2459034.5,2459060.5
66,28.0,S28,tess,2459060.5,2459087.5
67,29.0,S29,tess,2459087.5,2459114.5
68,30.0,S30,tess,2459114.5,2459143.5
69,31.0,S31,tess,2459143.5,2459172.5
70,32.0,S32,tess,2459172.5,2459200.5
71,33.0,S33,tess,2459200.5,2459227.5
72,34.0,S34,tess,2459227.5,2459254.5
73,35.0,S35,tess,2459254.5,2459280.5
74,36.0,S36,tess,2459280.5,2459306.5
75,37.0,S37,tess,2459306.5,2459332.5
76,38.0,S38,tess,2459332.5,2459360.5
77,39.0,S39,tess,2459360.5,2459389.5
78,40.0,S40,tess,2459389.5,2459418.5
79,41.0,S41,tess,2459418.5,2459446.5
80,42.0,S42,tess,2459446.5,2459473.5
81,43.0,S43,tess,2459473.5,2459499.5
82,44.0,S44,tess,2459499.5,2459524.5
83,45.0,S45,tess,2459524.5,2459550.5
84,46.0,S46,tess,2459550.5,2459578.5
85,47.0,S47,tess,2459578.5,2459607.5
86,48.0,S48,tess,2459607.5,2459636.5
87,49.0,S49,tess,2459636.5,2459664.5
88,50.0,S50,tess,2459664.5,2459691.5
89,51.0,S51,tess,2459691.5,2459717.5
90,52.0,S52,tess,2459717.5,2459743.5
91,53.0,S53,tess,2459743.5,2459769.5
92,54.0,S54,tess,2459769.5,2459796.5
93,55.0,S55,tess,2459796.5,2459823.5
94,56.0,S56,tess,2459823.5,2459852.5
95,57.0,S57,tess,2459852.5,2459881.5
96,58.0,S58,tess,2459881.5,2459909.5
97,59.0,S59,tess,2459909.5,2459936.5
98,60.0,S60,tess,2459936.5,2459962.5
99,61.0,S61,tess,2459962.5,2459987.5
100,62.0,S62,tess,2459987.5,2460013.5
101,63.0,S63,tess,2460013.5,2460040.5
102,64.0,S64,tess,2460040.5,2460068.5
103,65.0,S65,tess,2460068.5,2460097.5
104,66.0,S66,tess,2460097.5,2460126.5
105,67.0,S67,tess,2460126.5,2460154.5
106,68.0,S68,tess,2460154.5,2460181.5
107,69.0,S69,tess,2460181.5,2460207.5
108,70.0,S70,tess,2460207.5,2460233.5
109,71.0,S71,tess,2460233.5,2460259.5
110,72.0,S72,tess,2460259.5,2460285.5
111,73.0,S73,tess,2460285.5,2460312.5
112,74.0,S74,tess,2460312.5,2460339.5
113,75.0,S75,tess,2460339.5,2460366.5
114,76.0,S76,tess,2460366.5,2460395.5
115,77.0,S77,tess,2460395.5,2460423.5
116,78.0,S78,tess,2460423.5,2460451.5
117,79.0,S79,tess,2460451.5,2460479.5
118,80.0,S80,tess,2460479.5,2460506.5
119,81.0,S81,tess,2460506.5,2460532.5
120,82.0,S82,tess,2460532.5,2460558.5
121,83.0,S83,tess,2460558.5,2460584.5
